[Ruhrgebiet Mod] Copying data files to cities/data/RHR...
[Ruhrgebiet Mod] Data files copied successfully.
[Ruhrgebiet Mod] Starting tile server on port 8080...
2026/08/29 21:57:14 main.go:162: served 200 %2FRHR%2F12%2F2123%2F1368.mvt in 4.785708ms
2026/08/29 21:57:14 main.go:162: served 200 %2FRHR%2F12%2F2125%2F1368.mvt in 5.912083ms
2026/08/29 21:57:14 main.go:162: served 200 %2FRHR%2F12%2F2124%2F1368.mvt in 5.666667ms
2026/08/29 21:57:15 main.go:162: served 304 %2FRHR%2F12%2F2125%2F1368.mvt in 557.125µs
2026/08/29 21:57:15 main.go:162: served 304 %2FRHR%2F12%2F2126%2F1368.mvt in 1.250208ms
2026/08/29 21:57:15 main.go:162: served 304 %2FRHR%2F12%2F2123%2F1368.mvt in 1.353917ms
2026/08/29 21:57:15 main.go:162: served 304 %2FRHR%2F12%2F2124%2F1368.mvt in 1.533416ms
2026/08/29 21:57:18 main.go:162: served 304 %2FRHR%2F11%2F1064%2F683.mvt in 414.584µs
2026/08/29 21:57:19 main.go:162: served 200 %2FRHR%2F12%2F2127%2F1366.mvt in 1.087208ms
2026/08/29 21:57:19 main.go:162: served 200 %2FRHR%2F12%2F2127%2F1365.mvt in 1.319916ms
2026/08/29 21:57:19 main.go:162: served 200 %2FRHR%2F12%2F2127%2F1367.mvt in 2.001792ms
2026/08/29 21:57:19 main.go:162: served 200 %2FRHR%2F12%2F2128%2F1366.mvt in 2.067ms
2026/08/29 21:57:19 main.go:162: served 200 %2FRHR%2F12%2F2128%2F1367.mvt in 3.232792ms
2026/08/29 21:57:19 main.go:162: served 200 %2FRHR%2F12%2F2128%2F1365.mvt in 3.360417ms
2026/08/29 21:57:19 main.go:162: served 304 %2FRHR%2F12%2F2126%2F1365.mvt in 287.375µs
2026/08/29 21:57:19 main.go:162: served 304 %2FRHR%2F12%2F2125%2F1365.mvt in 236.333µs
2026/08/29 21:57:21 main.go:162: served 304 %2FRHR%2F12%2F2128%2F1367.mvt in 509.75µs
2026/08/29 21:57:21 main.go:162: served 304 %2FRHR%2F12%2F2128%2F1366.mvt in 545.125µs
2026/08/29 21:57:21 main.go:162: served 304 %2FRHR%2F12%2F2127%2F1365.mvt in 269µs
2026/08/29 21:57:21 main.go:162: served 304 %2FRHR%2F12%2F2128%2F1365.mvt in 2.220541ms
2026/08/29 21:57:21 main.go:162: served 304 %2FRHR%2F12%2F2126%2F1365.mvt in 3.154083ms
2026/08/29 21:57:21 main.go:162: served 304 %2FRHR%2F12%2F2125%2F1365.mvt in 841.084µs
2026/08/29 21:57:25 main.go:162: served 200 %2FRHR%2F10%2F530%2F339.mvt in 1.371584ms
2026/08/29 21:57:26 main.go:162: served 200 %2FRHR%2F11%2F1062%2F681.mvt in 2.032875ms
2026/08/29 21:57:26 main.go:162: served 200 %2FRHR%2F11%2F1062%2F680.mvt in 2.034209ms
2026/08/29 21:57:26 main.go:162: served 304 %2FRHR%2F11%2F1063%2F680.mvt in 1.831125ms
2026/08/29 21:57:26 main.go:162: served 304 %2FRHR%2F11%2F1065%2F682.mvt in 1.916209ms
2026/08/29 21:57:26 main.go:162: served 304 %2FRHR%2F11%2F1063%2F681.mvt in 1.975875ms
2026/08/29 21:57:27 main.go:162: served 200 %2FRHR%2F12%2F2129%2F1363.mvt in 2.851083ms
2026/08/29 21:57:27 main.go:162: served 200 %2FRHR%2F12%2F2127%2F1363.mvt in 4.877583ms
2026/08/29 21:57:27 main.go:162: served 200 %2FRHR%2F12%2F2127%2F1362.mvt in 3.833583ms
2026/08/29 21:57:27 main.go:162: served 200 %2FRHR%2F12%2F2126%2F1363.mvt in 3.929083ms
2026/08/29 21:57:27 main.go:162: served 200 %2FRHR%2F12%2F2128%2F1363.mvt in 4.319417ms
2026/08/29 21:57:27 main.go:162: served 200 %2FRHR%2F12%2F2126%2F1362.mvt in 4.093167ms
2026/08/29 21:57:27 main.go:162: served 304 %2FRHR%2F12%2F2129%2F1362.mvt in 1.389583ms
2026/08/29 21:57:27 main.go:162: served 200 %2FRHR%2F13%2F4255%2F2726.mvt in 1.364583ms
2026/08/29 21:57:27 main.go:162: served 200 %2FRHR%2F13%2F4256%2F2726.mvt in 1.004166ms
2026/08/29 21:57:27 main.go:162: served 200 %2FRHR%2F13%2F4256%2F2725.mvt in 839.083µs
2026/08/29 21:57:27 main.go:162: served 200 %2FRHR%2F13%2F4255%2F2725.mvt in 1.768875ms
2026/08/29 21:57:27 main.go:162: served 200 %2FRHR%2F13%2F4254%2F2726.mvt in 1.11825ms
2026/08/29 21:57:27 main.go:162: served 200 %2FRHR%2F13%2F4254%2F2725.mvt in 1.584583ms
2026/08/29 21:57:28 server.go:156: fetching RHR 13922-8717
2026/08/29 21:57:28 server.go:200: fetched RHR 13922-8717
2026/08/29 21:57:28 main.go:162: served 200 %2FRHR%2F14%2F8512%2F5452.mvt in 1.030625ms
2026/08/29 21:57:28 main.go:162: served 200 %2FRHR%2F14%2F8512%2F5451.mvt in 1.10975ms
2026/08/29 21:57:28 main.go:162: served 200 %2FRHR%2F14%2F8511%2F5451.mvt in 1.731875ms
2026/08/29 21:57:28 main.go:162: served 200 %2FRHR%2F14%2F8511%2F5452.mvt in 2.015417ms
2026/08/29 21:57:28 main.go:162: served 200 %2FRHR%2F14%2F8510%2F5451.mvt in 1.347458ms
2026/08/29 21:57:28 main.go:162: served 200 %2FRHR%2F14%2F8510%2F5452.mvt in 1.439584ms
2026/08/29 21:57:29 main.go:162: served 200 %2FRHR%2F13%2F4257%2F2725.mvt in 1.024458ms
2026/08/29 21:57:29 main.go:162: served 200 %2FRHR%2F13%2F4257%2F2726.mvt in 1.33ms
2026/08/29 21:57:29 main.go:162: served 304 %2FRHR%2F12%2F2127%2F1363.mvt in 1.131084ms
2026/08/29 21:57:29 main.go:162: served 304 %2FRHR%2F12%2F2128%2F1363.mvt in 1.185ms
2026/08/29 21:57:29 main.go:162: served 304 %2FRHR%2F12%2F2127%2F1362.mvt in 1.626542ms
2026/08/29 21:57:29 main.go:162: served 304 %2FRHR%2F12%2F2126%2F1363.mvt in 687.959µs
2026/08/29 21:57:30 main.go:162: served 304 %2FRHR%2F10%2F534%2F341.mvt in 1.28675ms
