[Ruhrgebiet Mod] Copying data files to cities/data/RHR...
[Ruhrgebiet Mod] Data files copied successfully.
[Ruhrgebiet Mod] Starting tile server on port 8094...
2026/08/27 19:15:07 main.go:162: served 304 %2FRHR%2F11%2F1063%2F682.mvt in 212.542µs
2026/08/27 19:15:07 main.go:162: served 304 %2FRHR%2F11%2F1064%2F682.mvt in 328.583µs
2026/08/27 19:15:07 main.go:162: served 304 %2FRHR%2F11%2F1062%2F682.mvt in 61.833µs
2026/08/27 19:15:08 main.go:162: served 200 %2FRHR%2F12%2F2127%2F1363.mvt in 4.75275ms
2026/08/27 19:15:08 main.go:162: served 200 %2FRHR%2F12%2F2127%2F1364.mvt in 3.023834ms
2026/08/27 19:15:08 main.go:162: served 200 %2FRHR%2F12%2F2126%2F1364.mvt in 3.494ms
2026/08/27 19:15:08 main.go:162: served 200 %2FRHR%2F12%2F2126%2F1363.mvt in 5.522167ms
2026/08/27 19:15:08 main.go:162: served 200 %2FRHR%2F12%2F2127%2F1362.mvt in 4.611458ms
2026/08/27 19:15:08 main.go:162: served 200 %2FRHR%2F12%2F2126%2F1362.mvt in 5.560042ms
2026/08/27 19:15:08 main.go:162: served 200 %2FRHR%2F12%2F2125%2F1363.mvt in 1.552875ms
2026/08/27 19:15:08 main.go:162: served 200 %2FRHR%2F12%2F2128%2F1363.mvt in 2.065333ms
2026/08/27 19:15:08 main.go:162: served 200 %2FRHR%2F12%2F2125%2F1362.mvt in 1.538417ms
2026/08/27 19:15:08 main.go:162: served 200 %2FRHR%2F12%2F2128%2F1362.mvt in 830.167µs
2026/08/27 19:15:08 main.go:162: served 200 %2FRHR%2F12%2F2125%2F1364.mvt in 982µs
2026/08/27 19:15:08 main.go:162: served 200 %2FRHR%2F12%2F2128%2F1364.mvt in 455.125µs
2026/08/27 19:15:09 main.go:162: served 200 %2FRHR%2F13%2F4253%2F2727.mvt in 2.877833ms
2026/08/27 19:15:09 main.go:162: served 200 %2FRHR%2F13%2F4254%2F2727.mvt in 2.709916ms
2026/08/27 19:15:09 main.go:162: served 200 %2FRHR%2F13%2F4254%2F2726.mvt in 3.475542ms
2026/08/27 19:15:09 main.go:162: served 200 %2FRHR%2F13%2F4252%2F2727.mvt in 3.785958ms
2026/08/27 19:15:09 main.go:162: served 200 %2FRHR%2F13%2F4253%2F2726.mvt in 4.001167ms
2026/08/27 19:15:09 main.go:162: served 200 %2FRHR%2F13%2F4252%2F2726.mvt in 3.82725ms
2026/08/27 19:15:10 server.go:156: fetching RHR 13922-8717
2026/08/27 19:15:10 server.go:200: fetched RHR 13922-8717
2026/08/27 19:15:10 main.go:162: served 200 %2FRHR%2F14%2F8506%2F5453.mvt in 2.342208ms
2026/08/27 19:15:10 main.go:162: served 200 %2FRHR%2F14%2F8505%2F5454.mvt in 2.62725ms
2026/08/27 19:15:10 main.go:162: served 200 %2FRHR%2F14%2F8506%2F5454.mvt in 2.875792ms
2026/08/27 19:15:10 main.go:162: served 200 %2FRHR%2F14%2F8505%2F5453.mvt in 3.130667ms
2026/08/27 19:15:10 main.go:162: served 200 %2FRHR%2F14%2F8504%2F5453.mvt in 3.9595ms
2026/08/27 19:15:10 main.go:162: served 200 %2FRHR%2F14%2F8504%2F5454.mvt in 4.565042ms
2026/08/27 19:15:11 server.go:156: fetching RHR 38918-8098
2026/08/27 19:15:11 server.go:200: fetched RHR 38918-8098
2026/08/27 19:15:11 main.go:162: served 200 %2FRHR%2F15%2F17009%2F10907.mvt in 901.625µs
2026/08/27 19:15:11 main.go:162: served 200 %2FRHR%2F15%2F17011%2F10907.mvt in 1.521583ms
2026/08/27 19:15:11 main.go:162: served 200 %2FRHR%2F15%2F17011%2F10908.mvt in 1.770666ms
2026/08/27 19:15:11 main.go:162: served 200 %2FRHR%2F15%2F17010%2F10907.mvt in 2.340125ms
2026/08/27 19:15:11 main.go:162: served 200 %2FRHR%2F15%2F17010%2F10908.mvt in 2.4315ms
2026/08/27 19:15:11 main.go:162: served 200 %2FRHR%2F15%2F17009%2F10908.mvt in 1.663167ms
2026/08/27 19:15:11 main.go:162: served 200 %2FRHR%2F15%2F17012%2F10908.mvt in 312.083µs
2026/08/27 19:15:11 main.go:162: served 200 %2FRHR%2F15%2F17012%2F10907.mvt in 173.75µs
2026/08/27 19:15:12 main.go:162: served 304 %2FRHR%2F15%2F17012%2F10907.mvt in 142.375µs
2026/08/27 19:15:13 main.go:162: served 200 %2FRHR%2F14%2F8507%2F5454.mvt in 985.459µs
2026/08/27 19:15:13 main.go:162: served 200 %2FRHR%2F14%2F8507%2F5453.mvt in 1.340834ms
2026/08/27 19:15:13 main.go:162: served 200 %2FRHR%2F13%2F4251%2F2726.mvt in 1.104833ms
2026/08/27 19:15:13 main.go:162: served 200 %2FRHR%2F13%2F4251%2F2727.mvt in 1.144917ms
2026/08/27 19:15:13 main.go:162: served 304 %2FRHR%2F12%2F2126%2F1363.mvt in 1.84625ms
2026/08/27 19:15:13 main.go:162: served 304 %2FRHR%2F12%2F2125%2F1363.mvt in 1.496792ms
2026/08/27 19:15:13 main.go:162: served 304 %2FRHR%2F12%2F2127%2F1363.mvt in 2.126083ms
2026/08/27 19:15:13 main.go:162: served 304 %2FRHR%2F12%2F2126%2F1364.mvt in 545.916µs
2026/08/27 19:15:13 main.go:162: served 304 %2FRHR%2F12%2F2127%2F1364.mvt in 1.554375ms
2026/08/27 19:15:13 main.go:162: served 304 %2FRHR%2F12%2F2126%2F1362.mvt in 1.816334ms
2026/08/27 19:15:13 main.go:162: served 304 %2FRHR%2F12%2F2127%2F1362.mvt in 366.708µs
2026/08/27 19:15:13 main.go:162: served 304 %2FRHR%2F12%2F2125%2F1364.mvt in 163.958µs
2026/08/27 19:15:13 main.go:162: served 304 %2FRHR%2F12%2F2125%2F1362.mvt in 625.542µs
2026/08/27 19:15:15 main.go:162: served 304 %2FRHR%2F10%2F530%2F342.mvt in 93.208µs
2026/08/27 19:15:15 main.go:162: served 304 %2FRHR%2F10%2F532%2F342.mvt in 189.25µs
2026/08/27 19:15:15 main.go:162: served 304 %2FRHR%2F10%2F531%2F342.mvt in 303.334µs
2026/08/27 19:15:15 main.go:162: served 304 %2FRHR%2F10%2F533%2F342.mvt in 268.375µs
2026/08/27 19:15:15 main.go:162: served 204 %2FRHR%2F10%2F529%2F340.mvt in 12.917µs
2026/08/27 19:15:15 main.go:162: served 204 %2FRHR%2F10%2F529%2F341.mvt in 7.625µs
2026/08/27 19:15:15 main.go:162: served 204 %2FRHR%2F10%2F529%2F342.mvt in 42.084µs
2026/08/27 19:15:16 main.go:162: served 304 %2FRHR%2F11%2F1062%2F683.mvt in 2.132208ms
2026/08/27 19:15:16 main.go:162: served 304 %2FRHR%2F11%2F1061%2F683.mvt in 2.168292ms
2026/08/27 19:15:16 main.go:162: served 304 %2FRHR%2F11%2F1061%2F682.mvt in 1.845708ms
2026/08/27 19:15:16 main.go:162: served 304 %2FRHR%2F11%2F1063%2F683.mvt in 2.25925ms
2026/08/27 19:15:17 main.go:162: served 200 %2FRHR%2F12%2F2124%2F1365.mvt in 1.583834ms
2026/08/27 19:15:17 main.go:162: served 200 %2FRHR%2F12%2F2125%2F1365.mvt in 1.530958ms
2026/08/27 19:15:17 main.go:162: served 200 %2FRHR%2F12%2F2124%2F1364.mvt in 2.242625ms
2026/08/27 19:15:17 main.go:162: served 304 %2FRHR%2F12%2F2124%2F1366.mvt in 2.285083ms
2026/08/27 19:15:17 main.go:162: served 200 %2FRHR%2F12%2F2123%2F1365.mvt in 1.993917ms
2026/08/27 19:15:17 main.go:162: served 200 %2FRHR%2F12%2F2123%2F1364.mvt in 1.563667ms
2026/08/27 19:15:17 main.go:162: served 200 %2FRHR%2F12%2F2126%2F1365.mvt in 641µs
2026/08/27 19:15:17 main.go:162: served 304 %2FRHR%2F12%2F2125%2F1366.mvt in 620.875µs
2026/08/27 19:15:17 main.go:162: served 304 %2FRHR%2F12%2F2125%2F1364.mvt in 233.041µs
2026/08/27 19:15:17 main.go:162: served 304 %2FRHR%2F12%2F2126%2F1366.mvt in 417.917µs
2026/08/27 19:15:17 main.go:162: served 304 %2FRHR%2F12%2F2123%2F1366.mvt in 501.083µs
2026/08/27 19:15:17 main.go:162: served 304 %2FRHR%2F12%2F2126%2F1364.mvt in 663.708µs
2026/08/27 19:15:18 main.go:162: served 200 %2FRHR%2F13%2F4250%2F2731.mvt in 520.166µs
2026/08/27 19:15:18 main.go:162: served 200 %2FRHR%2F13%2F4250%2F2730.mvt in 9.420583ms
2026/08/27 19:15:18 main.go:162: served 200 %2FRHR%2F13%2F4249%2F2730.mvt in 2.157833ms
2026/08/27 19:15:18 main.go:162: served 200 %2FRHR%2F13%2F4249%2F2731.mvt in 2.357166ms
2026/08/27 19:15:18 main.go:162: served 200 %2FRHR%2F13%2F4248%2F2731.mvt in 2.673166ms
2026/08/27 19:15:18 main.go:162: served 200 %2FRHR%2F13%2F4248%2F2730.mvt in 2.7855ms
2026/08/27 19:15:21 main.go:162: served 200 %2FRHR%2F13%2F4247%2F2730.mvt in 1.1115ms
2026/08/27 19:15:21 main.go:162: served 200 %2FRHR%2F13%2F4247%2F2731.mvt in 1.277333ms
2026/08/27 19:15:21 main.go:162: served 304 %2FRHR%2F12%2F2124%2F1365.mvt in 182.125µs
2026/08/27 19:15:21 main.go:162: served 304 %2FRHR%2F12%2F2125%2F1365.mvt in 1.137625ms
2026/08/27 19:15:21 main.go:162: served 304 %2FRHR%2F12%2F2123%2F1365.mvt in 860.25µs
2026/08/27 19:15:21 main.go:162: served 304 %2FRHR%2F12%2F2124%2F1366.mvt in 1.208875ms
2026/08/27 19:15:21 main.go:162: served 304 %2FRHR%2F12%2F2125%2F1366.mvt in 988.417µs
2026/08/27 19:15:21 main.go:162: served 304 %2FRHR%2F12%2F2123%2F1366.mvt in 181.375µs
2026/08/27 19:15:21 main.go:162: served 204 %2FRHR%2F11%2F1060%2F682.mvt in 28.625µs
2026/08/27 19:15:21 main.go:162: served 204 %2FRHR%2F11%2F1060%2F683.mvt in 9.625µs
2026/08/27 19:15:21 main.go:162: served 204 %2FRHR%2F11%2F1060%2F681.mvt in 16.042µs
2026/08/27 19:15:21 main.go:162: served 200 %2FRHR%2F11%2F1061%2F681.mvt in 997.667µs
2026/08/27 19:15:27 main.go:162: served 304 %2FRHR%2F10%2F533%2F342.mvt in 1.353875ms
2026/08/27 19:17:30 main.go:162: served 200 %2FRHR%2F10%2F534%2F341.mvt in 2.590042ms
2026/08/27 19:17:30 main.go:162: served 200 %2FRHR%2F10%2F534%2F342.mvt in 2.62825ms
2026/08/27 19:17:30 main.go:162: served 200 %2FRHR%2F10%2F534%2F340.mvt in 2.6575ms
2026/08/27 19:17:31 main.go:162: served 200 %2FRHR%2F10%2F534%2F339.mvt in 810.084µs
2026/08/27 19:17:32 main.go:162: served 204 %2FRHR%2F10%2F535%2F341.mvt in 77.417µs
2026/08/27 19:17:32 main.go:162: served 204 %2FRHR%2F10%2F535%2F340.mvt in 62.375µs
2026/08/27 19:17:32 main.go:162: served 204 %2FRHR%2F10%2F535%2F339.mvt in 88.125µs
2026/08/27 19:17:34 main.go:162: served 204 %2FRHR%2F10%2F535%2F338.mvt in 33.25µs
2026/08/27 19:17:34 main.go:162: served 200 %2FRHR%2F10%2F534%2F338.mvt in 678.834µs
2026/08/27 19:17:34 main.go:162: served 200 %2FRHR%2F10%2F532%2F338.mvt in 366.75µs
2026/08/27 19:17:34 main.go:162: served 200 %2FRHR%2F10%2F533%2F338.mvt in 1.287875ms
2026/08/27 19:17:36 main.go:162: served 204 %2FRHR%2F10%2F533%2F337.mvt in 53.625µs
2026/08/27 19:17:36 main.go:162: served 204 %2FRHR%2F10%2F534%2F337.mvt in 20.75µs
2026/08/27 19:17:36 main.go:162: served 200 %2FRHR%2F10%2F532%2F337.mvt in 229.708µs
2026/08/27 19:17:36 main.go:162: served 204 %2FRHR%2F10%2F535%2F337.mvt in 15.166µs
2026/08/27 19:17:48 main.go:162: served 204 %2FRHR%2F11%2F1060%2F684.mvt in 60.375µs
2026/08/27 19:17:48 main.go:162: served 204 %2FRHR%2F11%2F1060%2F683.mvt in 17.667µs
2026/08/27 19:17:48 main.go:162: served 304 %2FRHR%2F11%2F1061%2F684.mvt in 1.047041ms
2026/08/27 19:17:48 main.go:162: served 304 %2FRHR%2F11%2F1062%2F684.mvt in 1.649166ms
2026/08/27 19:17:48 main.go:162: served 304 %2FRHR%2F11%2F1063%2F684.mvt in 1.77075ms
2026/08/27 19:17:49 main.go:162: served 204 %2FRHR%2F11%2F1062%2F685.mvt in 53.833µs
2026/08/27 19:17:49 main.go:162: served 204 %2FRHR%2F11%2F1061%2F685.mvt in 16.167µs
2026/08/27 19:17:49 main.go:162: served 204 %2FRHR%2F11%2F1063%2F685.mvt in 10.709µs
2026/08/27 19:17:49 main.go:162: served 204 %2FRHR%2F11%2F1060%2F685.mvt in 8.583µs
2026/08/27 19:17:49 main.go:162: served 200 %2FRHR%2F12%2F2123%2F1369.mvt in 1.612125ms
2026/08/27 19:17:49 main.go:162: served 204 %2FRHR%2F12%2F2123%2F1370.mvt in 28.333µs
2026/08/27 19:17:49 main.go:162: served 200 %2FRHR%2F12%2F2122%2F1369.mvt in 1.442125ms
2026/08/27 19:17:49 main.go:162: served 200 %2FRHR%2F12%2F2122%2F1368.mvt in 823µs
2026/08/27 19:17:49 main.go:162: served 200 %2FRHR%2F12%2F2124%2F1369.mvt in 490.917µs
2026/08/27 19:17:49 main.go:162: served 204 %2FRHR%2F12%2F2122%2F1370.mvt in 49.208µs
2026/08/27 19:17:49 main.go:162: served 304 %2FRHR%2F12%2F2123%2F1368.mvt in 405.459µs
2026/08/27 19:17:49 main.go:162: served 204 %2FRHR%2F12%2F2124%2F1370.mvt in 19.5µs
2026/08/27 19:17:49 main.go:162: served 204 %2FRHR%2F12%2F2121%2F1369.mvt in 10.5µs
2026/08/27 19:17:49 main.go:162: served 204 %2FRHR%2F12%2F2121%2F1368.mvt in 9.958µs
2026/08/27 19:17:49 main.go:162: served 204 %2FRHR%2F12%2F2121%2F1370.mvt in 10.417µs
2026/08/27 19:17:49 main.go:162: served 304 %2FRHR%2F12%2F2124%2F1368.mvt in 1.018542ms
2026/08/27 19:17:50 main.go:162: served 204 %2FRHR%2F13%2F4246%2F2739.mvt in 17.292µs
2026/08/27 19:17:50 main.go:162: served 204 %2FRHR%2F13%2F4245%2F2739.mvt in 58.209µs
2026/08/27 19:17:50 main.go:162: served 200 %2FRHR%2F13%2F4246%2F2738.mvt in 1.016458ms
2026/08/27 19:17:50 main.go:162: served 200 %2FRHR%2F13%2F4245%2F2738.mvt in 808.584µs
2026/08/27 19:17:50 main.go:162: served 200 %2FRHR%2F13%2F4247%2F2738.mvt in 361.792µs
2026/08/27 19:17:50 main.go:162: served 200 %2FRHR%2F13%2F4246%2F2737.mvt in 422.125µs
2026/08/27 19:17:50 main.go:162: served 204 %2FRHR%2F13%2F4247%2F2739.mvt in 39.708µs
2026/08/27 19:17:50 main.go:162: served 200 %2FRHR%2F13%2F4245%2F2737.mvt in 192.042µs
