[Munich Mod] Copying data files to cities/data/MUC...
[Munich Mod] Data files copied successfully.
[Munich Mod] Starting tile server on port 8082...
2026/08/27 11:58:45 main.go:162: served 304 %2FMUC%2F15%2F17439%2F11369.mvt in 294.5µs
2026/08/27 11:58:45 main.go:162: served 200 %2FMUC%2F15%2F17435%2F11368.mvt in 450.5µs
2026/08/27 11:58:45 main.go:162: served 304 %2FMUC%2F14%2F8717%2F5684.mvt in 124.291µs
2026/08/27 11:58:45 main.go:162: served 304 %2FMUC%2F14%2F8719%2F5685.mvt in 318.25µs
2026/08/27 11:58:45 main.go:162: served 304 %2FMUC%2F14%2F8718%2F5684.mvt in 358.916µs
2026/08/27 11:58:45 main.go:162: served 304 %2FMUC%2F14%2F8719%2F5684.mvt in 359.833µs
2026/08/27 11:58:45 main.go:162: served 304 %2FMUC%2F14%2F8718%2F5685.mvt in 433.625µs
2026/08/27 11:58:45 main.go:162: served 304 %2FMUC%2F14%2F8717%2F5683.mvt in 314.958µs
2026/08/27 11:58:45 main.go:162: served 304 %2FMUC%2F14%2F8718%2F5683.mvt in 530.959µs
2026/08/27 11:58:45 main.go:162: served 304 %2FMUC%2F14%2F8719%2F5683.mvt in 309.916µs
2026/08/27 11:58:45 main.go:162: served 304 %2FMUC%2F14%2F8717%2F5685.mvt in 1.069042ms
2026/08/27 11:58:45 main.go:162: served 304 %2FMUC%2F14%2F8720%2F5683.mvt in 192.625µs
2026/08/27 11:58:45 main.go:162: served 304 %2FMUC%2F14%2F8720%2F5684.mvt in 1.445541ms
2026/08/27 11:58:45 main.go:162: served 200 %2FMUC%2F14%2F8716%2F5683.mvt in 2.442542ms
2026/08/27 11:58:45 main.go:162: served 304 %2FMUC%2F13%2F4358%2F2842.mvt in 248.166µs
2026/08/27 11:58:45 main.go:162: served 304 %2FMUC%2F13%2F4359%2F2841.mvt in 105.833µs
2026/08/27 11:58:45 main.go:162: served 304 %2FMUC%2F13%2F4359%2F2842.mvt in 1.14625ms
2026/08/27 11:58:45 main.go:162: served 304 %2FMUC%2F13%2F4360%2F2841.mvt in 29.129417ms
2026/08/27 11:58:45 main.go:162: served 304 %2FMUC%2F13%2F4358%2F2841.mvt in 32.699166ms
2026/08/27 11:58:45 main.go:162: served 304 %2FMUC%2F13%2F4360%2F2842.mvt in 39.611042ms
2026/08/27 11:58:45 main.go:162: served 304 %2FMUC%2F13%2F4358%2F2843.mvt in 490.5µs
2026/08/27 11:58:45 main.go:162: served 304 %2FMUC%2F13%2F4360%2F2843.mvt in 4.633625ms
2026/08/27 11:58:45 main.go:162: served 304 %2FMUC%2F13%2F4359%2F2843.mvt in 4.363208ms
2026/08/27 11:58:45 main.go:162: served 304 %2FMUC%2F13%2F4357%2F2841.mvt in 2.612875ms
2026/08/27 11:58:45 main.go:162: served 304 %2FMUC%2F13%2F4357%2F2842.mvt in 2.265375ms
2026/08/27 11:58:45 main.go:162: served 200 %2FMUC%2F13%2F4361%2F2841.mvt in 1.129333ms
2026/08/27 11:58:45 main.go:162: served 304 %2FMUC%2F12%2F2178%2F1421.mvt in 2.495959ms
2026/08/27 11:58:45 main.go:162: served 304 %2FMUC%2F12%2F2179%2F1420.mvt in 2.63525ms
2026/08/27 11:58:45 main.go:162: served 304 %2FMUC%2F12%2F2180%2F1420.mvt in 2.603292ms
2026/08/27 11:58:45 main.go:162: served 304 %2FMUC%2F12%2F2180%2F1421.mvt in 2.950875ms
2026/08/27 11:58:45 main.go:162: served 304 %2FMUC%2F12%2F2179%2F1421.mvt in 2.961208ms
2026/08/27 11:58:45 main.go:162: served 304 %2FMUC%2F12%2F2178%2F1420.mvt in 2.790209ms
2026/08/27 11:58:46 main.go:162: served 304 %2FMUC%2F11%2F1089%2F709.mvt in 206.5µs
2026/08/27 11:58:46 main.go:162: served 304 %2FMUC%2F11%2F1089%2F711.mvt in 78.709µs
2026/08/27 11:58:46 main.go:162: served 304 %2FMUC%2F11%2F1090%2F710.mvt in 82µs
2026/08/27 11:58:46 main.go:162: served 304 %2FMUC%2F11%2F1090%2F711.mvt in 343.458µs
2026/08/27 11:58:46 main.go:162: served 304 %2FMUC%2F11%2F1089%2F710.mvt in 118.209µs
2026/08/27 11:58:46 main.go:162: served 304 %2FMUC%2F11%2F1088%2F710.mvt in 578.5µs
2026/08/27 11:58:46 main.go:162: served 304 %2FMUC%2F11%2F1090%2F709.mvt in 719.375µs
2026/08/27 11:58:46 main.go:162: served 304 %2FMUC%2F11%2F1088%2F709.mvt in 1.076333ms
2026/08/27 11:58:46 main.go:162: served 304 %2FMUC%2F11%2F1088%2F711.mvt in 212.875µs
2026/08/27 11:58:46 main.go:162: served 304 %2FMUC%2F11%2F1091%2F709.mvt in 170.708µs
2026/08/27 11:58:46 main.go:162: served 304 %2FMUC%2F11%2F1091%2F710.mvt in 177.667µs
2026/08/27 11:58:46 main.go:162: served 200 %2FMUC%2F11%2F1087%2F709.mvt in 1.841542ms
2026/08/27 11:58:46 main.go:162: served 304 %2FMUC%2F12%2F2179%2F1421.mvt in 1.140958ms
2026/08/27 11:58:46 main.go:162: served 304 %2FMUC%2F12%2F2179%2F1420.mvt in 617.916µs
2026/08/27 11:58:46 main.go:162: served 304 %2FMUC%2F12%2F2180%2F1421.mvt in 257.417µs
2026/08/27 11:58:46 main.go:162: served 304 %2FMUC%2F12%2F2178%2F1421.mvt in 328.625µs
2026/08/27 11:58:46 main.go:162: served 304 %2FMUC%2F12%2F2180%2F1420.mvt in 170µs
2026/08/27 11:58:46 main.go:162: served 200 %2FMUC%2F12%2F2179%2F1419.mvt in 2.299292ms
2026/08/27 11:58:47 main.go:162: served 200 %2FMUC%2F12%2F2181%2F1419.mvt in 2.489833ms
2026/08/27 11:58:47 main.go:162: served 304 %2FMUC%2F12%2F2178%2F1420.mvt in 3.191708ms
2026/08/27 11:58:47 main.go:162: served 200 %2FMUC%2F12%2F2180%2F1419.mvt in 3.325416ms
2026/08/27 11:58:47 main.go:162: served 200 %2FMUC%2F12%2F2177%2F1419.mvt in 2.661041ms
2026/08/27 11:58:47 main.go:162: served 200 %2FMUC%2F12%2F2178%2F1419.mvt in 3.693209ms
2026/08/27 11:58:47 main.go:162: served 304 %2FMUC%2F12%2F2179%2F1422.mvt in 905.584µs
2026/08/27 11:58:47 main.go:162: served 304 %2FMUC%2F12%2F2180%2F1422.mvt in 1.157292ms
2026/08/27 11:58:47 main.go:162: served 304 %2FMUC%2F12%2F2178%2F1422.mvt in 2.191708ms
2026/08/27 11:58:47 main.go:162: served 304 %2FMUC%2F12%2F2181%2F1421.mvt in 188.625µs
2026/08/27 11:58:47 main.go:162: served 304 %2FMUC%2F12%2F2181%2F1420.mvt in 320.625µs
